device_id,phone_number,carrier,device_type,imei
450,4847963304,AT&T,Samsung Galaxy S23,3.5683E+14
451,2159017731,T-Mobile,Google Pixel 7a,3.5483E+14
452,2679022214,Verizon,iPhone 12,3.5383E+14
453,5709036619,AT&T,Motorola Edge,3.5583E+14
454,4125903317,T-Mobile,Samsung Galaxy S22,3.56921E+14
455,6109039941,Verizon,iPhone 14,3.5383E+14
456,7249046619,AT&T,Google Pixel 8 Pro,3.5483E+14
457,8789053312,T-Mobile,OnePlus 11,3.55921E+14
458,7175909941,Verizon,iPhone 15 Pro,3.5383E+14
459,2235678938,AT&T,Samsung Galaxy S23 Ultra,3.5683E+14
460,4845585617,T-Mobile,Google Pixel Fold,3.5483E+14
461,2152346613,Verizon,iPhone 13 Mini,3.5383E+14
462,2675539939,AT&T,Motorola Edge 2023,3.5583E+14
463,5705556445,T-Mobile,Samsung Galaxy A34,3.56921E+14
464,4125563731,Verizon,iPhone 12 Pro Max,3.5383E+14
465,6105535711,AT&T,Google Pixel 7,3.5483E+14
466,7245557652,T-Mobile,OnePlus 10,3.55921E+14
467,8785556618,Verizon,iPhone 11 Pro,3.5383E+14
468,7175574708,AT&T,Samsung Galaxy S21 FE,3.5683E+14
469,2235580309,T-Mobile,Google Pixel 6a,3.5483E+14
470,4845553841,Verizon,iPhone 14 Plus,3.5383E+14
471,2155558938,AT&T,Motorola G Power,3.5583E+14
472,2675558216,T-Mobile,Samsung Galaxy S10,3.56921E+14
473,5705589291,Verizon,iPhone XR,3.5383E+14
474,4125598741,AT&T,Google Pixel 4a,3.5483E+14
475,6105557319,T-Mobile,OnePlus 8T,3.55921E+14
476,7245532188,Verizon,iPhone 11,3.5383E+14
477,8785525132,AT&T,Samsung Galaxy S20 FE,3.5683E+14
478,7175553210,T-Mobile,Google Pixel 5a,3.5483E+14
479,2235564389,Verizon,iPhone 12 Mini,3.5383E+14
480,4845563227,AT&T,Motorola G Stylus,3.5583E+14
481,2155514116,T-Mobile,Samsung Galaxy S21,3.56921E+14
482,2675574530,Verizon,iPhone 13,3.5383E+14
483,5705526206,AT&T,Google Pixel 6,3.5483E+14
484,4125524689,T-Mobile,OnePlus 9 Pro,3.55921E+14
485,6105597629,Verizon,iPhone SE,3.5383E+14
486,7245549717,AT&T,Samsung Galaxy A14,3.5683E+14
487,8785573542,T-Mobile,Google Pixel 5,3.5483E+14
488,7175575631,Verizon,iPhone 11 Pro,3.5383E+14
489,2235554219,AT&T,OnePlus 11,3.55921E+14
490,4845585589,T-Mobile,Samsung Galaxy S23+,3.56921E+14
491,2155596725,Verizon,iPhone 15,3.5383E+14
492,2675545317,AT&T,Google Pixel 7,3.5483E+14
493,5705768946,T-Mobile,OnePlus 12,3.55921E+14
494,4125456318,Verizon,iPhone 14 Pro,3.5383E+14
495,6105856191,AT&T,Samsung Galaxy S22+,3.5683E+14
496,7245356732,T-Mobile,Google Pixel 8,3.5483E+14
497,8785678208,Verizon,iPhone 13 Pro,3.5383E+14
498,7175346424,AT&T,Motorola Edge+,3.5583E+14
499,2235574730,T-Mobile,Samsung Galaxy S23 Ultra,3.56921E+14
500,4845678305,Verizon,iPhone 15 Pro Max,3.5383E+14
